Unnamed: 0,0,city,year,vehicle,direction,variable
mean_variable_annual,0.376411679749664,delhi,2021,car,F,COUNT
month,0.1484866482864674,delhi,2021,car,F,COUNT
day,0.0137054790514468,delhi,2021,car,F,COUNT
hour,0.0838390392439425,delhi,2021,car,F,COUNT
day_of_week,0.0262604925185954,delhi,2021,car,F,COUNT
week_of_year,0.1680959196339892,delhi,2021,car,F,COUNT
quarter,0.0132598564478152,delhi,2021,car,F,COUNT
part_of_day,0.005397453464038,delhi,2021,car,F,COUNT
FUNC_CLASS,0.1090116854561927,delhi,2021,car,F,COUNT
SPEED_CAT,0.0235994735428732,delhi,2021,car,F,COUNT
LANE_CAT,0.0319322726049752,delhi,2021,car,F,COUNT
mean_variable_annual,0.5854415269282869,delhi,2021,car,F,MEAN
month,0.0287142570150121,delhi,2021,car,F,MEAN
day,0.0130745238588102,delhi,2021,car,F,MEAN
hour,0.2052352899344215,delhi,2021,car,F,MEAN
day_of_week,0.0170478618639287,delhi,2021,car,F,MEAN
week_of_year,0.0625587304843331,delhi,2021,car,F,MEAN
quarter,0.008077065494241,delhi,2021,car,F,MEAN
part_of_day,0.0064733949163054,delhi,2021,car,F,MEAN
FUNC_CLASS,0.0320118350567998,delhi,2021,car,F,MEAN
SPEED_CAT,0.0262378624636366,delhi,2021,car,F,MEAN
LANE_CAT,0.0151276519842243,delhi,2021,car,F,MEAN
mean_variable_annual,0.3664810788720785,delhi,2021,truck,F,COUNT
month,0.0473487013344605,delhi,2021,truck,F,COUNT
day,0.0150987358950275,delhi,2021,truck,F,COUNT
hour,0.0989040547831351,delhi,2021,truck,F,COUNT
day_of_week,0.0239136885953239,delhi,2021,truck,F,COUNT
week_of_year,0.2351777787670464,delhi,2021,truck,F,COUNT
quarter,0.0164096674779009,delhi,2021,truck,F,COUNT
part_of_day,0.0048571706476271,delhi,2021,truck,F,COUNT
FUNC_CLASS,0.1100183959939603,delhi,2021,truck,F,COUNT
SPEED_CAT,0.0387323707382562,delhi,2021,truck,F,COUNT
LANE_CAT,0.0430583568951832,delhi,2021,truck,F,COUNT
mean_variable_annual,0.5737372091116181,delhi,2021,truck,F,MEAN
month,0.0193054502928621,delhi,2021,truck,F,MEAN
day,0.0115184686503113,delhi,2021,truck,F,MEAN
hour,0.1965945694143726,delhi,2021,truck,F,MEAN
day_of_week,0.0138473494903388,delhi,2021,truck,F,MEAN
week_of_year,0.0774936176078701,delhi,2021,truck,F,MEAN
quarter,0.0068629243350712,delhi,2021,truck,F,MEAN
part_of_day,0.013857901652999,delhi,2021,truck,F,MEAN
FUNC_CLASS,0.0335794874130709,delhi,2021,truck,F,MEAN
SPEED_CAT,0.0307809092074767,delhi,2021,truck,F,MEAN
LANE_CAT,0.0224221128240089,delhi,2021,truck,F,MEAN
mean_variable_annual,0.4299805604643238,bengaluru,2021,car,F,COUNT
month,0.0951145333319366,bengaluru,2021,car,F,COUNT
day,0.020466628057253,bengaluru,2021,car,F,COUNT
hour,0.1412981024081427,bengaluru,2021,car,F,COUNT
day_of_week,0.0448737305425098,bengaluru,2021,car,F,COUNT
week_of_year,0.1579931165379365,bengaluru,2021,car,F,COUNT
quarter,0.0079543227397584,bengaluru,2021,car,F,COUNT
part_of_day,0.0067623517311085,bengaluru,2021,car,F,COUNT
FUNC_CLASS,0.0493843226371274,bengaluru,2021,car,F,COUNT
SPEED_CAT,0.02576534071012,bengaluru,2021,car,F,COUNT
LANE_CAT,0.0204069908397829,bengaluru,2021,car,F,COUNT
mean_variable_annual,0.5952524264010619,bengaluru,2021,car,F,MEAN
month,0.0469565010699646,bengaluru,2021,car,F,MEAN
day,0.0100946556139368,bengaluru,2021,car,F,MEAN
hour,0.1873064515514963,bengaluru,2021,car,F,MEAN
day_of_week,0.0113839313285567,bengaluru,2021,car,F,MEAN
week_of_year,0.0441075975432424,bengaluru,2021,car,F,MEAN
quarter,0.0150206474038782,bengaluru,2021,car,F,MEAN
part_of_day,0.0209359240858907,bengaluru,2021,car,F,MEAN
FUNC_CLASS,0.0300325074031012,bengaluru,2021,car,F,MEAN
SPEED_CAT,0.0245793303413021,bengaluru,2021,car,F,MEAN
LANE_CAT,0.0143300272575687,bengaluru,2021,car,F,MEAN
mean_variable_annual,0.5764074750526008,bengaluru,2021,truck,F,COUNT
month,0.0610249508103079,bengaluru,2021,truck,F,COUNT
day,0.0070190858832319,bengaluru,2021,truck,F,COUNT
hour,0.1743921659531888,bengaluru,2021,truck,F,COUNT
day_of_week,0.0448718444999038,bengaluru,2021,truck,F,COUNT
week_of_year,0.0891755127742362,bengaluru,2021,truck,F,COUNT
quarter,0.0082805874563203,bengaluru,2021,truck,F,COUNT
part_of_day,0.006893728014494,bengaluru,2021,truck,F,COUNT
FUNC_CLASS,0.0175793389342161,bengaluru,2021,truck,F,COUNT
SPEED_CAT,0.0052219577925962,bengaluru,2021,truck,F,COUNT
LANE_CAT,0.0091333528289036,bengaluru,2021,truck,F,COUNT
mean_variable_annual,0.6321542980083339,bengaluru,2021,truck,F,MEAN
month,0.0249836234243838,bengaluru,2021,truck,F,MEAN
day,0.0058564533384047,bengaluru,2021,truck,F,MEAN
hour,0.2159293957120416,bengaluru,2021,truck,F,MEAN
day_of_week,0.0179648097577686,bengaluru,2021,truck,F,MEAN
week_of_year,0.0608975999911638,bengaluru,2021,truck,F,MEAN
quarter,0.0065640096857255,bengaluru,2021,truck,F,MEAN
part_of_day,0.0193894437080926,bengaluru,2021,truck,F,MEAN
FUNC_CLASS,0.0068338637460746,bengaluru,2021,truck,F,MEAN
SPEED_CAT,0.0061982072846078,bengaluru,2021,truck,F,MEAN
LANE_CAT,0.0032282953434027,bengaluru,2021,truck,F,MEAN
mean_variable_annual,0.4666086965383141,ahmedabad,2021,car,F,COUNT
month,0.0898027178257054,ahmedabad,2021,car,F,COUNT
day,0.0208305502059236,ahmedabad,2021,car,F,COUNT
hour,0.0646818023270123,ahmedabad,2021,car,F,COUNT
day_of_week,0.0341770941241963,ahmedabad,2021,car,F,COUNT
week_of_year,0.2364340319126607,ahmedabad,2021,car,F,COUNT
quarter,0.0287470767221162,ahmedabad,2021,car,F,COUNT
part_of_day,0.0053957244236414,ahmedabad,2021,car,F,COUNT
FUNC_CLASS,0.0332995230243534,ahmedabad,2021,car,F,COUNT
SPEED_CAT,0.007007306717778,ahmedabad,2021,car,F,COUNT
LANE_CAT,0.0130154761782984,ahmedabad,2021,car,F,COUNT
mean_variable_annual,0.6751544895679931,ahmedabad,2021,car,F,MEAN
month,0.0229156147758829,ahmedabad,2021,car,F,MEAN
day,0.0053021982758108,ahmedabad,2021,car,F,MEAN
hour,0.1919960158814277,ahmedabad,2021,car,F,MEAN
day_of_week,0.0126797201099712,ahmedabad,2021,car,F,MEAN
week_of_year,0.0560737287698909,ahmedabad,2021,car,F,MEAN
quarter,0.0014563523861748,ahmedabad,2021,car,F,MEAN
part_of_day,0.0170257737396203,ahmedabad,2021,car,F,MEAN
FUNC_CLASS,0.0077572400243599,ahmedabad,2021,car,F,MEAN
SPEED_CAT,0.0063250118440704,ahmedabad,2021,car,F,MEAN
LANE_CAT,0.0033138546247975,ahmedabad,2021,car,F,MEAN
mean_variable_annual,0.5581339111072419,ahmedabad,2021,truck,F,COUNT
month,0.0432600554014115,ahmedabad,2021,truck,F,COUNT
day,0.0124218257907669,ahmedabad,2021,truck,F,COUNT
hour,0.1113848197887286,ahmedabad,2021,truck,F,COUNT
day_of_week,0.0447653087893414,ahmedabad,2021,truck,F,COUNT
week_of_year,0.1761822475364818,ahmedabad,2021,truck,F,COUNT
quarter,0.0014856568281269,ahmedabad,2021,truck,F,COUNT
part_of_day,0.0135058686917587,ahmedabad,2021,truck,F,COUNT
FUNC_CLASS,0.0272666035174514,ahmedabad,2021,truck,F,COUNT
SPEED_CAT,0.006222538584331,ahmedabad,2021,truck,F,COUNT
LANE_CAT,0.0053711639643596,ahmedabad,2021,truck,F,COUNT
mean_variable_annual,0.6558028690685961,ahmedabad,2021,truck,F,MEAN
month,0.0254148520105941,ahmedabad,2021,truck,F,MEAN
day,0.0081537573424101,ahmedabad,2021,truck,F,MEAN
hour,0.1824136607814377,ahmedabad,2021,truck,F,MEAN
day_of_week,0.0143874399662152,ahmedabad,2021,truck,F,MEAN
week_of_year,0.0784638930947032,ahmedabad,2021,truck,F,MEAN
quarter,0.0004700694871124,ahmedabad,2021,truck,F,MEAN
part_of_day,0.0164770741494263,ahmedabad,2021,truck,F,MEAN
FUNC_CLASS,0.0110904689987283,ahmedabad,2021,truck,F,MEAN
SPEED_CAT,0.0038556540115604,ahmedabad,2021,truck,F,MEAN
LANE_CAT,0.0034702610892158,ahmedabad,2021,truck,F,MEAN
mean_variable_annual,0.5008588247779067,aizawl,2021,car,F,COUNT
month,0.0498407076323434,aizawl,2021,car,F,COUNT
day,0.0964951858495423,aizawl,2021,car,F,COUNT
hour,0.1051304061728997,aizawl,2021,car,F,COUNT
day_of_week,0.0651435483107728,aizawl,2021,car,F,COUNT
week_of_year,0.1038650924979627,aizawl,2021,car,F,COUNT
quarter,0.000172985640439,aizawl,2021,car,F,COUNT
part_of_day,0.0,aizawl,2021,car,F,COUNT
FUNC_CLASS,0.0494349037549068,aizawl,2021,car,F,COUNT
SPEED_CAT,0.0238782105626288,aizawl,2021,car,F,COUNT
LANE_CAT,0.0051801348005974,aizawl,2021,car,F,COUNT
mean_variable_annual,0.5236352133114248,aizawl,2021,car,F,MEAN
month,0.0468487788230977,aizawl,2021,car,F,MEAN
day,0.0848786993394836,aizawl,2021,car,F,MEAN
hour,0.1178408595020325,aizawl,2021,car,F,MEAN
day_of_week,0.0570401034744044,aizawl,2021,car,F,MEAN
week_of_year,0.0975073874602498,aizawl,2021,car,F,MEAN
quarter,0.0,aizawl,2021,car,F,MEAN
part_of_day,0.0,aizawl,2021,car,F,MEAN
FUNC_CLASS,0.042051402236438,aizawl,2021,car,F,MEAN
SPEED_CAT,0.021524394141133,aizawl,2021,car,F,MEAN
LANE_CAT,0.0086731617117358,aizawl,2021,car,F,MEAN
mean_variable_annual,0.2859379574226223,aizawl,2021,truck,F,COUNT
month,0.0430251118291039,aizawl,2021,truck,F,COUNT
day,0.0979191596918495,aizawl,2021,truck,F,COUNT
hour,0.2134180846831443,aizawl,2021,truck,F,COUNT
day_of_week,0.0685325695769592,aizawl,2021,truck,F,COUNT
week_of_year,0.24542985543589,aizawl,2021,truck,F,COUNT
quarter,0.0,aizawl,2021,truck,F,COUNT
part_of_day,0.0003853119969495,aizawl,2021,truck,F,COUNT
FUNC_CLASS,0.0225587709479247,aizawl,2021,truck,F,COUNT
SPEED_CAT,0.0223839588348213,aizawl,2021,truck,F,COUNT
LANE_CAT,0.0004092195807349,aizawl,2021,truck,F,COUNT
mean_variable_annual,0.588277833913765,aizawl,2021,truck,F,MEAN
month,0.049997439349036,aizawl,2021,truck,F,MEAN
day,0.0646387868285754,aizawl,2021,truck,F,MEAN
hour,0.1249313519856633,aizawl,2021,truck,F,MEAN
day_of_week,0.0460297897840956,aizawl,2021,truck,F,MEAN
week_of_year,0.100602300201105,aizawl,2021,truck,F,MEAN
quarter,0.001374092647407,aizawl,2021,truck,F,MEAN
part_of_day,0.0014868583642821,aizawl,2021,truck,F,MEAN
FUNC_CLASS,0.0130492288614423,aizawl,2021,truck,F,MEAN
SPEED_CAT,0.0083813235294641,aizawl,2021,truck,F,MEAN
LANE_CAT,0.0012309945351637,aizawl,2021,truck,F,MEAN
mean_variable_annual,0.3117910943858757,bhopal,2021,car,F,COUNT
month,0.1924814992367695,bhopal,2021,car,F,COUNT
day,0.0183966133433805,bhopal,2021,car,F,COUNT
hour,0.1603243042979616,bhopal,2021,car,F,COUNT
day_of_week,0.0232448128698686,bhopal,2021,car,F,COUNT
week_of_year,0.1551525949626216,bhopal,2021,car,F,COUNT
quarter,0.0348665203979098,bhopal,2021,car,F,COUNT
part_of_day,0.0068389197087757,bhopal,2021,car,F,COUNT
FUNC_CLASS,0.0500682714650951,bhopal,2021,car,F,COUNT
SPEED_CAT,0.0175157552574332,bhopal,2021,car,F,COUNT
LANE_CAT,0.0293196140743082,bhopal,2021,car,F,COUNT
mean_variable_annual,0.6795726439913496,bhopal,2021,car,F,MEAN
month,0.0492150631951339,bhopal,2021,car,F,MEAN
day,0.003961645291715,bhopal,2021,car,F,MEAN
hour,0.154451643254121,bhopal,2021,car,F,MEAN
day_of_week,0.0107367076691925,bhopal,2021,car,F,MEAN
week_of_year,0.0538654537928493,bhopal,2021,car,F,MEAN
quarter,0.0010640108653449,bhopal,2021,car,F,MEAN
part_of_day,0.0156122933643471,bhopal,2021,car,F,MEAN
FUNC_CLASS,0.0189096329039359,bhopal,2021,car,F,MEAN
SPEED_CAT,0.0075940097595959,bhopal,2021,car,F,MEAN
LANE_CAT,0.0050168959124144,bhopal,2021,car,F,MEAN
mean_variable_annual,0.336351282322725,bhopal,2021,truck,F,COUNT
month,0.0845676863165428,bhopal,2021,truck,F,COUNT
day,0.009986935679919,bhopal,2021,truck,F,COUNT
hour,0.1986786884266814,bhopal,2021,truck,F,COUNT
day_of_week,0.023440463542673,bhopal,2021,truck,F,COUNT
week_of_year,0.2486195843360225,bhopal,2021,truck,F,COUNT
quarter,0.0199971012791224,bhopal,2021,truck,F,COUNT
part_of_day,0.0062477965474451,bhopal,2021,truck,F,COUNT
FUNC_CLASS,0.0320357872898027,bhopal,2021,truck,F,COUNT
SPEED_CAT,0.0166992859752669,bhopal,2021,truck,F,COUNT
LANE_CAT,0.0233753882837986,bhopal,2021,truck,F,COUNT
mean_variable_annual,0.630189222799967,bhopal,2021,truck,F,MEAN
month,0.0526052856320349,bhopal,2021,truck,F,MEAN
day,0.0048529747210544,bhopal,2021,truck,F,MEAN
hour,0.1703221976722456,bhopal,2021,truck,F,MEAN
day_of_week,0.0119371138007997,bhopal,2021,truck,F,MEAN
week_of_year,0.0780014134322819,bhopal,2021,truck,F,MEAN
quarter,0.0039352458818946,bhopal,2021,truck,F,MEAN
part_of_day,0.0126952022939431,bhopal,2021,truck,F,MEAN
FUNC_CLASS,0.0182467693843037,bhopal,2021,truck,F,MEAN
SPEED_CAT,0.0078171997861552,bhopal,2021,truck,F,MEAN
LANE_CAT,0.0093973745953194,bhopal,2021,truck,F,MEAN
mean_variable_annual,0.3799219296638445,bhubaneswar,2021,car,F,COUNT
month,0.2233314276957115,bhubaneswar,2021,car,F,COUNT
day,0.0129548272855238,bhubaneswar,2021,car,F,COUNT
hour,0.1820050361223004,bhubaneswar,2021,car,F,COUNT
day_of_week,0.0447341353735717,bhubaneswar,2021,car,F,COUNT
week_of_year,0.1015904803003576,bhubaneswar,2021,car,F,COUNT
quarter,0.0066186900538057,bhubaneswar,2021,car,F,COUNT
part_of_day,0.0067999164646978,bhubaneswar,2021,car,F,COUNT
FUNC_CLASS,0.0241272992011612,bhubaneswar,2021,car,F,COUNT
SPEED_CAT,0.0068513985085543,bhubaneswar,2021,car,F,COUNT
LANE_CAT,0.011064859330471,bhubaneswar,2021,car,F,COUNT
mean_variable_annual,0.6047066301392837,bhubaneswar,2021,car,F,MEAN
month,0.0236492525243606,bhubaneswar,2021,car,F,MEAN
day,0.0057563284550874,bhubaneswar,2021,car,F,MEAN
hour,0.2025554437463602,bhubaneswar,2021,car,F,MEAN
day_of_week,0.0318626140683659,bhubaneswar,2021,car,F,MEAN
week_of_year,0.0738229466525779,bhubaneswar,2021,car,F,MEAN
quarter,0.0055845418095465,bhubaneswar,2021,car,F,MEAN
part_of_day,0.0194583313282741,bhubaneswar,2021,car,F,MEAN
FUNC_CLASS,0.0124756775759593,bhubaneswar,2021,car,F,MEAN
SPEED_CAT,0.0125745257406477,bhubaneswar,2021,car,F,MEAN
LANE_CAT,0.0075537079595364,bhubaneswar,2021,car,F,MEAN
mean_variable_annual,0.5786946627207976,bhubaneswar,2021,truck,F,COUNT
month,0.0602072072513579,bhubaneswar,2021,truck,F,COUNT
day,0.0143523405785104,bhubaneswar,2021,truck,F,COUNT
hour,0.1687489020386469,bhubaneswar,2021,truck,F,COUNT
day_of_week,0.050983215050211,bhubaneswar,2021,truck,F,COUNT
week_of_year,0.0858523914511457,bhubaneswar,2021,truck,F,COUNT
quarter,0.0064380287369466,bhubaneswar,2021,truck,F,COUNT
part_of_day,0.0058414169528002,bhubaneswar,2021,truck,F,COUNT
FUNC_CLASS,0.0118929146761026,bhubaneswar,2021,truck,F,COUNT
SPEED_CAT,0.005545115450131,bhubaneswar,2021,truck,F,COUNT
LANE_CAT,0.0114438050933495,bhubaneswar,2021,truck,F,COUNT
mean_variable_annual,0.623784377292492,bhubaneswar,2021,truck,F,MEAN
month,0.0226636720510734,bhubaneswar,2021,truck,F,MEAN
day,0.0052575394554223,bhubaneswar,2021,truck,F,MEAN
hour,0.1855694228836291,bhubaneswar,2021,truck,F,MEAN
day_of_week,0.0317470519154362,bhubaneswar,2021,truck,F,MEAN
week_of_year,0.0880574883040722,bhubaneswar,2021,truck,F,MEAN
quarter,0.0007202711574928,bhubaneswar,2021,truck,F,MEAN
part_of_day,0.0150011199838134,bhubaneswar,2021,truck,F,MEAN
FUNC_CLASS,0.012441222069073,bhubaneswar,2021,truck,F,MEAN
SPEED_CAT,0.0095921216760112,bhubaneswar,2021,truck,F,MEAN
LANE_CAT,0.0051657132114837,bhubaneswar,2021,truck,F,MEAN
mean_variable_annual,0.3796753890071057,chandigarh,2021,car,F,COUNT
month,0.125896577369969,chandigarh,2021,car,F,COUNT
day,0.0120454425780699,chandigarh,2021,car,F,COUNT
hour,0.2343624692953185,chandigarh,2021,car,F,COUNT
day_of_week,0.0446878039342974,chandigarh,2021,car,F,COUNT
week_of_year,0.1357111941350346,chandigarh,2021,car,F,COUNT
quarter,0.0109615765544647,chandigarh,2021,car,F,COUNT
part_of_day,0.0100824523082564,chandigarh,2021,car,F,COUNT
FUNC_CLASS,0.0267101051504728,chandigarh,2021,car,F,COUNT
SPEED_CAT,0.0077537952029365,chandigarh,2021,car,F,COUNT
LANE_CAT,0.012113194464074,chandigarh,2021,car,F,COUNT
mean_variable_annual,0.6036896932755191,chandigarh,2021,car,F,MEAN
month,0.0508820552963527,chandigarh,2021,car,F,MEAN
day,0.005739832199111,chandigarh,2021,car,F,MEAN
hour,0.2381158662214406,chandigarh,2021,car,F,MEAN
day_of_week,0.0221169211069127,chandigarh,2021,car,F,MEAN
week_of_year,0.0416188265827876,chandigarh,2021,car,F,MEAN
quarter,0.0013313554455322,chandigarh,2021,car,F,MEAN
part_of_day,0.0118518741864919,chandigarh,2021,car,F,MEAN
FUNC_CLASS,0.0088010729601396,chandigarh,2021,car,F,MEAN
SPEED_CAT,0.0122243951584148,chandigarh,2021,car,F,MEAN
LANE_CAT,0.0036281075672973,chandigarh,2021,car,F,MEAN
mean_variable_annual,0.3829605484830089,chandigarh,2021,truck,F,COUNT
month,0.0541220755354832,chandigarh,2021,truck,F,COUNT
day,0.0107210200465034,chandigarh,2021,truck,F,COUNT
hour,0.2515602899355563,chandigarh,2021,truck,F,COUNT
day_of_week,0.0345256123420305,chandigarh,2021,truck,F,COUNT
week_of_year,0.2127981969823831,chandigarh,2021,truck,F,COUNT
quarter,0.0128795107511651,chandigarh,2021,truck,F,COUNT
part_of_day,0.0035341935753433,chandigarh,2021,truck,F,COUNT
FUNC_CLASS,0.0148271423112479,chandigarh,2021,truck,F,COUNT
SPEED_CAT,0.0069011670491808,chandigarh,2021,truck,F,COUNT
LANE_CAT,0.0151702429880968,chandigarh,2021,truck,F,COUNT
mean_variable_annual,0.6233916204048433,chandigarh,2021,truck,F,MEAN
month,0.0256809993591466,chandigarh,2021,truck,F,MEAN
day,0.0045147879398198,chandigarh,2021,truck,F,MEAN
hour,0.23202786984988,chandigarh,2021,truck,F,MEAN
day_of_week,0.0270132058771976,chandigarh,2021,truck,F,MEAN
week_of_year,0.0512043587659698,chandigarh,2021,truck,F,MEAN
quarter,0.0007906806118525,chandigarh,2021,truck,F,MEAN
part_of_day,0.0117480330122708,chandigarh,2021,truck,F,MEAN
FUNC_CLASS,0.010058861503592,chandigarh,2021,truck,F,MEAN
SPEED_CAT,0.0083176040565484,chandigarh,2021,truck,F,MEAN
LANE_CAT,0.0052519786188785,chandigarh,2021,truck,F,MEAN
mean_variable_annual,0.3708055065567878,chennai,2021,car,F,COUNT
month,0.2739113268986182,chennai,2021,car,F,COUNT
day,0.0125318905521727,chennai,2021,car,F,COUNT
hour,0.1918055333781165,chennai,2021,car,F,COUNT
day_of_week,0.0299256437072665,chennai,2021,car,F,COUNT
week_of_year,0.1052194882840412,chennai,2021,car,F,COUNT
quarter,0.000485911275106,chennai,2021,car,F,COUNT
part_of_day,0.0003970138939298,chennai,2021,car,F,COUNT
FUNC_CLASS,0.0078061906623003,chennai,2021,car,F,COUNT
SPEED_CAT,0.0028233179743877,chennai,2021,car,F,COUNT
LANE_CAT,0.0042881768172731,chennai,2021,car,F,COUNT
mean_variable_annual,0.5952431009371938,chennai,2021,car,F,MEAN
month,0.0171250874792118,chennai,2021,car,F,MEAN
day,0.0074044735582363,chennai,2021,car,F,MEAN
hour,0.2260709248823979,chennai,2021,car,F,MEAN
day_of_week,0.0208595020732065,chennai,2021,car,F,MEAN
week_of_year,0.094917940730484,chennai,2021,car,F,MEAN
quarter,0.0011300025872989,chennai,2021,car,F,MEAN
part_of_day,0.009259713069146,chennai,2021,car,F,MEAN
FUNC_CLASS,0.0122565619245547,chennai,2021,car,F,MEAN
SPEED_CAT,0.0091996687612111,chennai,2021,car,F,MEAN
LANE_CAT,0.0065330239970585,chennai,2021,car,F,MEAN
mean_variable_annual,0.6016452288883044,chennai,2021,truck,F,COUNT
month,0.0347514517972087,chennai,2021,truck,F,COUNT
day,0.0142276057645466,chennai,2021,truck,F,COUNT
hour,0.1706062614879561,chennai,2021,truck,F,COUNT
day_of_week,0.0824035204692778,chennai,2021,truck,F,COUNT
week_of_year,0.0663747847255312,chennai,2021,truck,F,COUNT
quarter,0.0072664639774451,chennai,2021,truck,F,COUNT
part_of_day,0.0046733814335057,chennai,2021,truck,F,COUNT
FUNC_CLASS,0.0093343075177814,chennai,2021,truck,F,COUNT
SPEED_CAT,0.0026608624516423,chennai,2021,truck,F,COUNT
LANE_CAT,0.0060561314868002,chennai,2021,truck,F,COUNT
mean_variable_annual,0.6384878352450746,chennai,2021,truck,F,MEAN
month,0.0122117925727405,chennai,2021,truck,F,MEAN
day,0.0056866635120536,chennai,2021,truck,F,MEAN
hour,0.2247646205973923,chennai,2021,truck,F,MEAN
day_of_week,0.0259351368700722,chennai,2021,truck,F,MEAN
week_of_year,0.069440686434989,chennai,2021,truck,F,MEAN
quarter,0.0024789982893315,chennai,2021,truck,F,MEAN
part_of_day,0.0086233142467523,chennai,2021,truck,F,MEAN
FUNC_CLASS,0.0067535278625246,chennai,2021,truck,F,MEAN
SPEED_CAT,0.0042691726659278,chennai,2021,truck,F,MEAN
LANE_CAT,0.0013482517031411,chennai,2021,truck,F,MEAN
mean_variable_annual,0.3526831191860152,coimbatore,2021,car,F,COUNT
month,0.108429339033564,coimbatore,2021,car,F,COUNT
day,0.0226356011999561,coimbatore,2021,car,F,COUNT
hour,0.2102638915742456,coimbatore,2021,car,F,COUNT
day_of_week,0.0579642012024693,coimbatore,2021,car,F,COUNT
week_of_year,0.167186848579347,coimbatore,2021,car,F,COUNT
